X.2016.,X.20.,X.2.022734.,X.2.115624.
2016,20,2.022734,2.115624
2016,40,2.495202,2.723635
2016,65,3.613966,3.774147
2016,85,4.149938,4.863285
2016,max,3.884071,4.594463
2016,all,4.469768,5.723719
2017,20,2.019633,1.967185
2017,40,2.482844,2.434426
2017,65,3.598742,3.82985
2017,85,4.149473,4.834657
2017,max,3.905067,4.940607
2017,all,4.522807,5.248695
2018,20,1.990244,2.020901
2018,40,2.461989,2.66845
2018,65,3.617954,3.877809
2018,85,4.126339,4.944458
2018,max,3.934229,4.853172
2018,all,4.529722,5.390762
2019,20,1.932982,1.974187
2019,40,2.454976,2.923196
2019,65,3.607177,4.145618
2019,85,4.139288,5.16791
2019,max,4.018534,4.659236
2019,all,4.529086,5.048156
