X.2016.,X.20.,X.0.390437.,X.0.5794.
2016,20,0.390437,0.5794
2016,40,0.827735,1.210563
2016,65,2.066903,2.631013
2016,85,3.174506,3.749805
2016,max,3.209045,4.123019
2016,all,3.575599,5.302269
2017,20,0.407748,0.588771
2017,40,0.870261,0.890574
2017,65,2.119425,2.530047
2017,85,3.167763,3.483025
2017,max,3.328737,4.244462
2017,all,3.553787,4.233712
2018,20,0.436106,0.453758
2018,40,0.850506,1.08643
2018,65,2.130458,2.409588
2018,85,3.162241,3.872618
2018,max,3.368475,3.88278
2018,all,3.588438,4.993179
2019,20,0.416618,0.672718
2019,40,0.874106,1.020616
2019,65,2.146448,2.635431
2019,85,3.201399,3.446503
2019,max,3.412486,4.208733
2019,all,3.648763,5.541346
