X.2016.,X.20.,X.0.92588.,X.1.120114.
2016,20,0.92588,1.120114
2016,40,1.493541,1.869874
2016,65,2.773908,3.158655
2016,85,3.730974,4.404581
2016,max,3.608316,4.466844
2016,all,4.015472,5.217428
2017,20,0.938084,0.916724
2017,40,1.517333,1.506187
2017,65,2.804231,3.06734
2017,85,3.742342,4.41549
2017,max,3.686566,4.647912
2017,all,4.026904,4.621007
2018,20,0.940419,0.834319
2018,40,1.48417,1.551517
2018,65,2.803469,3.027099
2018,85,3.682209,4.826465
2018,max,3.745484,4.466255
2018,all,4.050782,5.043643
2019,20,0.921764,0.915211
2019,40,1.503682,1.586608
2019,65,2.808107,3.077362
2019,85,3.694428,4.188048
2019,max,3.784479,4.460238
2019,all,4.126209,5.004846
